customer_id,store_id,first_name,last_name,email,address_id,phone,deposit,active,create_date,last_update
1,1,MARY,SMITH,MARY.SMITH@sakilacustomer.org,5,28303384290,0,1,14/02/2006 22:04,15/02/2006 04:57
2,1,PATRICIA,JOHNSON,PATRICIA.JOHNSON@sakilacustomer.org,6,8.39E+11,0,1,14/02/2006 22:04,15/02/2006 04:57
3,1,LINDA,WILLIAMS,LINDA.WILLIAMS@sakilacustomer.org,7,4.48E+11,0,1,14/02/2006 22:04,15/02/2006 04:57
4,2,BARBARA,JONES,BARBARA.JONES@sakilacustomer.org,8,7.06E+11,0,1,14/02/2006 22:04,15/02/2006 04:57
5,1,ELIZABETH,BROWN,ELIZABETH.BROWN@sakilacustomer.org,9,10655648674,0,1,14/02/2006 22:04,15/02/2006 04:57
6,2,JENNIFER,DAVIS,JENNIFER.DAVIS@sakilacustomer.org,10,8.60E+11,0,1,14/02/2006 22:04,15/02/2006 04:57
7,1,MARIA,MILLER,MARIA.MILLER@sakilacustomer.org,11,7.17E+11,0,1,14/02/2006 22:04,15/02/2006 04:57
8,2,SUSAN,WILSON,SUSAN.WILSON@sakilacustomer.org,12,6.57E+11,0,1,14/02/2006 22:04,15/02/2006 04:57
9,2,MARGARET,MOORE,MARGARET.MOORE@sakilacustomer.org,13,3.81E+11,0,1,14/02/2006 22:04,15/02/2006 04:57
10,1,DOROTHY,TAYLOR,DOROTHY.TAYLOR@sakilacustomer.org,14,6.49E+11,0,1,14/02/2006 22:04,15/02/2006 04:57
11,2,LISA,ANDERSON,LISA.ANDERSON@sakilacustomer.org,15,6.35E+11,0,1,14/02/2006 22:04,15/02/2006 04:57
12,1,NANCY,THOMAS,NANCY.THOMAS@sakilacustomer.org,16,4.66E+11,0,1,14/02/2006 22:04,15/02/2006 04:57
13,2,KAREN,JACKSON,KAREN.JACKSON@sakilacustomer.org,17,6.95E+11,0,1,14/02/2006 22:04,15/02/2006 04:57
14,2,BETTY,WHITE,BETTY.WHITE@sakilacustomer.org,18,5.17E+11,0,1,14/02/2006 22:04,15/02/2006 04:57
15,1,HELEN,HARRIS,HELEN.HARRIS@sakilacustomer.org,19,9.91E+11,0,1,14/02/2006 22:04,15/02/2006 04:57
16,2,SANDRA,MARTIN,SANDRA.MARTIN@sakilacustomer.org,20,9.49E+11,0,0,14/02/2006 22:04,15/02/2006 04:57
17,1,DONNA,THOMPSON,DONNA.THOMPSON@sakilacustomer.org,21,4.08E+11,0,1,14/02/2006 22:04,15/02/2006 04:57
18,2,CAROL,GARCIA,CAROL.GARCIA@sakilacustomer.org,22,7.48E+11,0,1,14/02/2006 22:04,15/02/2006 04:57
19,1,RUTH,MARTINEZ,RUTH.MARTINEZ@sakilacustomer.org,23,2.73E+11,0,1,14/02/2006 22:04,15/02/2006 04:57
20,2,SHARON,ROBINSON,SHARON.ROBINSON@sakilacustomer.org,24,1.44E+11,0,1,14/02/2006 22:04,15/02/2006 04:57
21,1,MICHELLE,CLARK,MICHELLE.CLARK@sakilacustomer.org,25,8.93E+11,0,1,14/02/2006 22:04,15/02/2006 04:57
22,1,LAURA,RODRIGUEZ,LAURA.RODRIGUEZ@sakilacustomer.org,26,1.62E+11,0,1,14/02/2006 22:04,15/02/2006 04:57
23,2,SARAH,LEWIS,SARAH.LEWIS@sakilacustomer.org,27,9.03E+11,0,1,14/02/2006 22:04,15/02/2006 04:57
24,2,KIMBERLY,LEE,KIMBERLY.LEE@sakilacustomer.org,28,9.35E+11,0,1,14/02/2006 22:04,15/02/2006 04:57
25,1,DEBORAH,WALKER,DEBORAH.WALKER@sakilacustomer.org,29,1.96E+11,0,1,14/02/2006 22:04,15/02/2006 04:57
26,2,JESSICA,HALL,JESSICA.HALL@sakilacustomer.org,30,9.98E+11,0,1,14/02/2006 22:04,15/02/2006 04:57
27,2,SHIRLEY,ALLEN,SHIRLEY.ALLEN@sakilacustomer.org,31,6.65E+11,0,1,14/02/2006 22:04,15/02/2006 04:57
28,1,CYNTHIA,YOUNG,CYNTHIA.YOUNG@sakilacustomer.org,32,6.78E+11,0,1,14/02/2006 22:04,15/02/2006 04:57
29,2,ANGELA,HERNANDEZ,ANGELA.HERNANDEZ@sakilacustomer.org,33,18461860151,0,1,14/02/2006 22:04,15/02/2006 04:57
30,1,MELISSA,KING,MELISSA.KING@sakilacustomer.org,34,5.25E+11,0,1,14/02/2006 22:04,15/02/2006 04:57
31,2,BRENDA,WRIGHT,BRENDA.WRIGHT@sakilacustomer.org,35,7.46E+11,0,1,14/02/2006 22:04,15/02/2006 04:57
32,1,AMY,LOPEZ,AMY.LOPEZ@sakilacustomer.org,36,6.28E+11,0,1,14/02/2006 22:04,15/02/2006 04:57
33,2,ANNA,HILL,ANNA.HILL@sakilacustomer.org,37,9.12E+11,0,1,14/02/2006 22:04,15/02/2006 04:57
34,2,REBECCA,SCOTT,REBECCA.SCOTT@sakilacustomer.org,38,7.08E+11,0,1,14/02/2006 22:04,15/02/2006 04:57
35,2,VIRGINIA,GREEN,VIRGINIA.GREEN@sakilacustomer.org,39,4.41E+11,0,1,14/02/2006 22:04,15/02/2006 04:57
36,2,KATHLEEN,ADAMS,KATHLEEN.ADAMS@sakilacustomer.org,40,4.81E+11,0,1,14/02/2006 22:04,15/02/2006 04:57
37,1,PAMELA,BAKER,PAMELA.BAKER@sakilacustomer.org,41,9.12E+11,0,1,14/02/2006 22:04,15/02/2006 04:57
38,1,MARTHA,GONZALEZ,MARTHA.GONZALEZ@sakilacustomer.org,42,4.90E+11,0,1,14/02/2006 22:04,15/02/2006 04:57
39,1,DEBRA,NELSON,DEBRA.NELSON@sakilacustomer.org,43,3.78E+11,0,1,14/02/2006 22:04,15/02/2006 04:57
40,2,AMANDA,CARTER,AMANDA.CARTER@sakilacustomer.org,44,6.81E+11,0,1,14/02/2006 22:04,15/02/2006 04:57
41,1,STEPHANIE,MITCHELL,STEPHANIE.MITCHELL@sakilacustomer.org,45,42384721397,0,1,14/02/2006 22:04,15/02/2006 04:57
42,2,CAROLYN,PEREZ,CAROLYN.PEREZ@sakilacustomer.org,46,4.72E+11,0,1,14/02/2006 22:04,15/02/2006 04:57
43,2,CHRISTINE,ROBERTS,CHRISTINE.ROBERTS@sakilacustomer.org,47,5.40E+11,0,1,14/02/2006 22:04,15/02/2006 04:57
44,1,MARIE,TURNER,MARIE.TURNER@sakilacustomer.org,48,1.78E+11,0,1,14/02/2006 22:04,15/02/2006 04:57
45,1,JANET,PHILLIPS,JANET.PHILLIPS@sakilacustomer.org,49,6.75E+11,0,1,14/02/2006 22:04,15/02/2006 04:57
46,2,CATHERINE,CAMPBELL,CATHERINE.CAMPBELL@sakilacustomer.org,50,2.62E+11,0,1,14/02/2006 22:04,15/02/2006 04:57
47,1,FRANCES,PARKER,FRANCES.PARKER@sakilacustomer.org,51,69493378813,0,1,14/02/2006 22:04,15/02/2006 04:57
48,1,ANN,EVANS,ANN.EVANS@sakilacustomer.org,52,7.06E+11,0,1,14/02/2006 22:04,15/02/2006 04:57
49,2,JOYCE,EDWARDS,JOYCE.EDWARDS@sakilacustomer.org,53,8.76E+11,0,1,14/02/2006 22:04,15/02/2006 04:57
50,1,DIANE,COLLINS,DIANE.COLLINS@sakilacustomer.org,54,3.08E+11,0,1,14/02/2006 22:04,15/02/2006 04:57
51,1,ALICE,STEWART,ALICE.STEWART@sakilacustomer.org,55,1.72E+11,0,1,14/02/2006 22:04,15/02/2006 04:57
52,1,JULIE,SANCHEZ,JULIE.SANCHEZ@sakilacustomer.org,56,6.80E+11,0,1,14/02/2006 22:04,15/02/2006 04:57
53,1,HEATHER,MORRIS,HEATHER.MORRIS@sakilacustomer.org,57,6.98E+11,0,1,14/02/2006 22:04,15/02/2006 04:57
54,1,TERESA,ROGERS,TERESA.ROGERS@sakilacustomer.org,58,9.21E+11,0,1,14/02/2006 22:04,15/02/2006 04:57
55,2,DORIS,REED,DORIS.REED@sakilacustomer.org,59,4.99E+11,0,1,14/02/2006 22:04,15/02/2006 04:57
56,1,GLORIA,COOK,GLORIA.COOK@sakilacustomer.org,60,3.47E+11,0,1,14/02/2006 22:04,15/02/2006 04:57
57,2,EVELYN,MORGAN,EVELYN.MORGAN@sakilacustomer.org,61,8.89E+11,0,1,14/02/2006 22:04,15/02/2006 04:57
58,1,JEAN,BELL,JEAN.BELL@sakilacustomer.org,62,2.13E+11,0,1,14/02/2006 22:04,15/02/2006 04:57
59,1,CHERYL,MURPHY,CHERYL.MURPHY@sakilacustomer.org,63,8.00E+11,0,1,14/02/2006 22:04,15/02/2006 04:57
60,1,MILDRED,BAILEY,MILDRED.BAILEY@sakilacustomer.org,64,2.51E+11,0,1,14/02/2006 22:04,15/02/2006 04:57
61,2,KATHERINE,RIVERA,KATHERINE.RIVERA@sakilacustomer.org,65,1395251317,0,1,14/02/2006 22:04,15/02/2006 04:57
62,1,JOAN,COOPER,JOAN.COOPER@sakilacustomer.org,66,9.14E+11,0,1,14/02/2006 22:04,15/02/2006 04:57
63,1,ASHLEY,RICHARDSON,ASHLEY.RICHARDSON@sakilacustomer.org,67,4.91E+11,0,1,14/02/2006 22:04,15/02/2006 04:57
64,2,JUDITH,COX,JUDITH.COX@sakilacustomer.org,68,3.33E+11,0,0,14/02/2006 22:04,15/02/2006 04:57
65,2,ROSE,HOWARD,ROSE.HOWARD@sakilacustomer.org,69,4.10E+11,0,1,14/02/2006 22:04,15/02/2006 04:57
