"customer_id","store_id","customer_first_n","customer_last_n","email","customer_phone","deposit","active","create_date","last_update"
"1","1","MARY","SMITH","MARY.SMITH@sakilacustomer.org","28303384290","0","1","2006-02-14 22:04:36","2006-02-15 04:57:20"
"2","1","PATRICIA","JOHNSON","PATRICIA.JOHNSON@sakilacustomer.org","838635286649","0","1","2006-02-14 22:04:36","2006-02-15 04:57:20"
"3","1","LINDA","WILLIAMS","LINDA.WILLIAMS@sakilacustomer.org","448477190408","0","1","2006-02-14 22:04:36","2006-02-15 04:57:20"
"4","2","BARBARA","JONES","BARBARA.JONES@sakilacustomer.org","705814003527","0","1","2006-02-14 22:04:36","2006-02-15 04:57:20"
"5","1","ELIZABETH","BROWN","ELIZABETH.BROWN@sakilacustomer.org","10655648674","0","1","2006-02-14 22:04:36","2006-02-15 04:57:20"
"6","2","JENNIFER","DAVIS","JENNIFER.DAVIS@sakilacustomer.org","860452626434","0","1","2006-02-14 22:04:36","2006-02-15 04:57:20"
"7","1","MARIA","MILLER","MARIA.MILLER@sakilacustomer.org","716571220373","0","1","2006-02-14 22:04:36","2006-02-15 04:57:20"
"8","2","SUSAN","WILSON","SUSAN.WILSON@sakilacustomer.org","657282285970","0","1","2006-02-14 22:04:36","2006-02-15 04:57:20"
"9","2","MARGARET","MOORE","MARGARET.MOORE@sakilacustomer.org","380657522649","0","1","2006-02-14 22:04:36","2006-02-15 04:57:20"
"10","1","DOROTHY","TAYLOR","DOROTHY.TAYLOR@sakilacustomer.org","648856936185","0","1","2006-02-14 22:04:36","2006-02-15 04:57:20"
"11","2","LISA","ANDERSON","LISA.ANDERSON@sakilacustomer.org","635297277345","0","1","2006-02-14 22:04:36","2006-02-15 04:57:20"
"12","1","NANCY","THOMAS","NANCY.THOMAS@sakilacustomer.org","465887807014","0","1","2006-02-14 22:04:36","2006-02-15 04:57:20"
"13","2","KAREN","JACKSON","KAREN.JACKSON@sakilacustomer.org","695479687538","0","1","2006-02-14 22:04:36","2006-02-15 04:57:20"
"14","2","BETTY","WHITE","BETTY.WHITE@sakilacustomer.org","517338314235","0","1","2006-02-14 22:04:36","2006-02-15 04:57:20"
"15","1","HELEN","HARRIS","HELEN.HARRIS@sakilacustomer.org","990911107354","0","1","2006-02-14 22:04:36","2006-02-15 04:57:20"
"16","2","SANDRA","MARTIN","SANDRA.MARTIN@sakilacustomer.org","949312333307","0","0","2006-02-14 22:04:36","2006-02-15 04:57:20"
"17","1","DONNA","THOMPSON","DONNA.THOMPSON@sakilacustomer.org","407752414682","0","1","2006-02-14 22:04:36","2006-02-15 04:57:20"
"18","2","CAROL","GARCIA","CAROL.GARCIA@sakilacustomer.org","747791594069","0","1","2006-02-14 22:04:36","2006-02-15 04:57:20"
"19","1","RUTH","MARTINEZ","RUTH.MARTINEZ@sakilacustomer.org","272572357893","0","1","2006-02-14 22:04:36","2006-02-15 04:57:20"
"20","2","SHARON","ROBINSON","SHARON.ROBINSON@sakilacustomer.org","144453869132","0","1","2006-02-14 22:04:36","2006-02-15 04:57:20"
"21","1","MICHELLE","CLARK","MICHELLE.CLARK@sakilacustomer.org","892775750063","0","1","2006-02-14 22:04:36","2006-02-15 04:57:20"
"22","1","LAURA","RODRIGUEZ","LAURA.RODRIGUEZ@sakilacustomer.org","161968374323","0","1","2006-02-14 22:04:36","2006-02-15 04:57:20"
"23","2","SARAH","LEWIS","SARAH.LEWIS@sakilacustomer.org","902731229323","0","1","2006-02-14 22:04:36","2006-02-15 04:57:20"
"24","2","KIMBERLY","LEE","KIMBERLY.LEE@sakilacustomer.org","934730187245","0","1","2006-02-14 22:04:36","2006-02-15 04:57:20"
"25","1","DEBORAH","WALKER","DEBORAH.WALKER@sakilacustomer.org","196495945706","0","1","2006-02-14 22:04:36","2006-02-15 04:57:20"
"26","2","JESSICA","HALL","JESSICA.HALL@sakilacustomer.org","998009777982","0","1","2006-02-14 22:04:36","2006-02-15 04:57:20"
"27","2","SHIRLEY","ALLEN","SHIRLEY.ALLEN@sakilacustomer.org","665356572025","0","1","2006-02-14 22:04:36","2006-02-15 04:57:20"
"28","1","CYNTHIA","YOUNG","CYNTHIA.YOUNG@sakilacustomer.org","678220867005","0","1","2006-02-14 22:04:36","2006-02-15 04:57:20"
"29","2","ANGELA","HERNANDEZ","ANGELA.HERNANDEZ@sakilacustomer.org","18461860151","0","1","2006-02-14 22:04:36","2006-02-15 04:57:20"
"30","1","MELISSA","KING","MELISSA.KING@sakilacustomer.org","525255540978","0","1","2006-02-14 22:04:36","2006-02-15 04:57:20"
"31","2","BRENDA","WRIGHT","BRENDA.WRIGHT@sakilacustomer.org","745994947458","0","1","2006-02-14 22:04:36","2006-02-15 04:57:20"
"32","1","AMY","LOPEZ","AMY.LOPEZ@sakilacustomer.org","627705991774","0","1","2006-02-14 22:04:36","2006-02-15 04:57:20"
"33","2","ANNA","HILL","ANNA.HILL@sakilacustomer.org","911872220378","0","1","2006-02-14 22:04:36","2006-02-15 04:57:20"
"34","2","REBECCA","SCOTT","REBECCA.SCOTT@sakilacustomer.org","708403338270","0","1","2006-02-14 22:04:36","2006-02-15 04:57:20"
"35","2","VIRGINIA","GREEN","VIRGINIA.GREEN@sakilacustomer.org","440512153169","0","1","2006-02-14 22:04:36","2006-02-15 04:57:20"
"36","2","KATHLEEN","ADAMS","KATHLEEN.ADAMS@sakilacustomer.org","481183273622","0","1","2006-02-14 22:04:36","2006-02-15 04:57:20"
"37","1","PAMELA","BAKER","PAMELA.BAKER@sakilacustomer.org","912257250465","0","1","2006-02-14 22:04:36","2006-02-15 04:57:20"
